CLIENTNUM,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Unnamed: 19
768805383,45.0,M,3,High School,Married,$60K - $80K,Blue,39.0,5.0,1,3,12691.0,777,1.335,1144,42,1.625,0.061,
818770008,49.0,F,5,Graduate,,Less than $40K,Blue,44.0,6.0,1,2,8256.0,864,1.541,1291,33,3.714,0.105,
713982108,51.0,M,3,Graduate,Married,$80K - $120K,Blue,36.0,4.0,1,0,3418.0,0,2.594,1887,20,2.333,0.0,
769911858,40.0,F,4,High School,,Less than $40K,Blue,34.0,3.0,4,1,3313.0,2517,1.405,1171,20,2.333,0.76,
709106358,40.0,M,3,Uneducated,Married,$60K - $80K,,21.0,5.0,1,0,4716.0,0,2.175,816,28,2.5,0.0,
713061558,44.0,M,2,Graduate,Married,$40K - $60K,Blue,36.0,3.0,1,2,4010.0,1247,1.376,1088,24,0.846,0.311,
810347208,51.0,M,4,Unknown,Married,$120K +,Gold,46.0,6.0,1,3,34516.0,2264,1.975,1330,31,0.722,0.066,
818906208,32.0,M,0,High School,Unknown,$60K - $80K,Silver,27.0,2.0,2,2,29081.0,1396,2.204,1538,36,0.714,0.048,
710930508,37.0,M,3,Uneducated,Single,$60K - $80K,,36.0,5.0,2,0,22352.0,2517,3.355,1350,24,1.182,0.113,
719661558,48.0,M,2,Graduate,Single,$80K - $120K,Blue,36.0,6.0,3,3,11656.0,1677,1.524,1441,32,0.882,0.144,
708790833,42.0,M,5,Uneducated,Unknown,$120K +,Blue,31.0,5.0,3,2,6748.0,1467,0.831,1201,42,0.68,0.217,
710821833,65.0,M,1,Unknown,Married,$40K - $60K,Blue,54.0,6.0,2,3,9095.0,1587,1.433,1314,26,1.364,0.174,
710599683,56.0,M,1,College,Single,$80K - $120K,Blue,36.0,3.0,6,0,11751.0,0,3.397,1539,17,3.25,0.0,
816082233,35.0,M,3,Graduate,Unknown,$60K - $80K,Blue,30.0,5.0,1,3,8547.0,1666,1.163,1311,33,2.0,0.195,
712396908,57.0,F,2,Graduate,Married,Less than $40K,Blue,48.0,5.0,2,2,2436.0,680,1.19,1570,29,0.611,0.279,
714885258,44.0,M,4,Unknown,Unknown,$80K - $120K,Blue,37.0,5.0,1,2,4234.0,972,1.707,1348,27,1.7,0.23,
709967358,48.0,M,4,Post-Graduate,Single,$80K - $120K,Blue,36.0,6.0,2,3,30367.0,2362,1.708,1671,27,0.929,0.078,
753327333,41.0,M,3,Unknown,Married,$80K - $120K,Blue,34.0,4.0,4,1,13535.0,1291,0.653,1028,21,1.625,0.095,
806160108,61.0,M,1,High School,Married,$40K - $60K,Blue,56.0,2.0,2,3,3193.0,2517,1.831,1336,30,1.143,0.788,
709327383,45.0,F,2,Graduate,Married,Unknown,Blue,37.0,6.0,1,2,14470.0,1157,0.966,1207,21,0.909,0.08,
806165208,47.0,M,1,Doctorate,Divorced,$60K - $80K,Blue,42.0,5.0,2,0,20979.0,1800,0.906,1178,27,0.929,0.086,
708508758,62.0,F,0,Graduate,Married,Less than $40K,Blue,49.0,2.0,3,3,1438.3,0,1.047,692,16,0.6,0.0,
784725333,41.0,M,3,High School,Married,$40K - $60K,Blue,33.0,4.0,2,1,4470.0,680,1.608,931,18,1.571,0.152,
811604133,47.0,F,4,Unknown,,Less than $40K,Blue,36.0,3.0,3,2,2492.0,1560,0.573,1126,23,0.353,0.626,
789124683,54.0,M,2,Unknown,Married,$80K - $120K,Blue,42.0,4.0,2,3,12217.0,0,1.075,1110,21,0.75,0.0,
